Time(s),Crosshead(mm),Load(kN),Extensometer(mm/mm),Stress(MPa)
64.4,1.0538,3.624,0.00136,315.5
64.5,1.0555,3.631,0.00136,316.1
64.6,1.0572,3.638,0.00137,316.7
64.7,1.0588,3.645,0.00137,317.3
64.8,1.0604,3.651,0.00137,317.9
64.9,1.0620,3.658,0.00137,318.4
65.0,1.0637,3.665,0.00137,319.1
65.1,1.0653,3.671,0.00138,319.6
65.2,1.0669,3.679,0.00138,320.3
65.3,1.0685,3.685,0.00139,320.8
65.4,1.0703,3.693,0.00139,321.5
65.5,1.0719,3.699,0.00139,322.0
65.6,1.0735,3.706,0.00139,322.7
65.7,1.0752,3.713,0.00140,323.3
65.8,1.0769,3.722,0.00140,324.0
65.9,1.0785,3.728,0.00140,324.5
66.0,1.0802,3.735,0.00140,325.1
66.1,1.0820,3.743,0.00141,325.8
66.2,1.0836,3.750,0.00141,326.5
66.3,1.0852,3.755,0.00141,326.9
66.4,1.0868,3.762,0.00142,327.5
66.5,1.0886,3.770,0.00142,328.2
66.6,1.0901,3.777,0.00142,328.8
66.7,1.0919,3.783,0.00142,329.3
66.8,1.0935,3.790,0.00142,329.9
66.9,1.0952,3.798,0.00143,330.6
67.0,1.0968,3.803,0.00142,331.1
67.1,1.0984,3.811,0.00143,331.7
67.2,1.1002,3.819,0.00144,332.5
67.3,1.1020,3.827,0.00144,333.1
67.4,1.1036,3.833,0.00144,333.7
67.5,1.1053,3.839,0.00144,334.2
67.6,1.1072,3.848,0.00145,335.0
67.7,1.1088,3.856,0.00145,335.7
67.8,1.1104,3.863,0.00145,336.3
67.9,1.1121,3.869,0.00145,336.9
68.0,1.1139,3.877,0.00146,337.6
68.1,1.1155,3.884,0.00146,338.2
68.2,1.1171,3.891,0.00146,338.7
68.3,1.1188,3.897,0.00147,339.3
68.4,1.1204,3.906,0.00147,340.0
68.5,1.1220,3.912,0.00147,340.5
68.6,1.1236,3.917,0.00148,341.0
68.7,1.1252,3.925,0.00148,341.7
68.8,1.1270,3.934,0.00148,342.4
68.9,1.1285,3.940,0.00148,343.0
69.0,1.1302,3.946,0.00148,343.6
69.1,1.1320,3.954,0.00149,344.2
69.2,1.1336,3.962,0.00149,344.9
69.3,1.1352,3.968,0.00149,345.4
69.4,1.1369,3.974,0.00150,346.0
69.5,1.1387,3.983,0.00150,346.7
69.6,1.1403,3.989,0.00150,347.3
69.7,1.1419,3.996,0.00151,347.9
69.8,1.1436,4.003,0.00151,348.5
69.9,1.1453,4.012,0.00151,349.3
70.0,1.1470,4.020,0.00152,349.9
70.1,1.1487,4.027,0.00151,350.6
70.2,1.1503,4.033,0.00152,351.1
70.3,1.1521,4.043,0.00152,352.0
70.4,1.1537,4.049,0.00152,352.5
70.5,1.1553,4.057,0.00153,353.2
70.6,1.1571,4.064,0.00153,353.8
70.7,1.1588,4.071,0.00153,354.4
70.8,1.1604,4.078,0.00154,355.0
70.9,1.1620,4.085,0.00154,355.6
71.0,1.1637,4.094,0.00155,356.4
71.1,1.1654,4.102,0.00154,357.1
71.2,1.1670,4.109,0.00155,357.7
71.3,1.1687,4.116,0.00156,358.3
71.4,1.1704,4.125,0.00155,359.1
71.5,1.1721,4.132,0.00155,359.7
71.6,1.1737,4.139,0.00156,360.3
71.7,1.1753,4.146,0.00156,361.0
71.8,1.1771,4.155,0.00157,361.7
71.9,1.1788,4.162,0.00157,362.3
72.0,1.1804,4.168,0.00157,362.9
72.1,1.1820,4.175,0.00157,363.4
72.2,1.1837,4.184,0.00158,364.3
72.3,1.1853,4.191,0.00158,364.8
72.4,1.1870,4.198,0.00158,365.5
72.5,1.1887,4.206,0.00158,366.1
72.6,1.1904,4.213,0.00159,366.8
72.7,1.1920,4.220,0.00159,367.4
72.8,1.1936,4.227,0.00160,368.0
72.9,1.1954,4.235,0.00159,368.7
73.0,1.1970,4.244,0.00159,369.4
73.1,1.1986,4.250,0.00160,370.0
73.2,1.2003,4.257,0.00160,370.6
73.3,1.2020,4.266,0.00161,371.4
73.4,1.2036,4.273,0.00161,372.0
73.5,1.2053,4.280,0.00162,372.6
73.6,1.2069,4.287,0.00161,373.3
73.7,1.2086,4.296,0.00162,374.0
73.8,1.2102,4.302,0.00162,374.5
73.9,1.2119,4.310,0.00163,375.2
74.0,1.2135,4.318,0.00163,375.9
74.1,1.2152,4.326,0.00163,376.6
74.2,1.2168,4.332,0.00164,377.2
74.3,1.2184,4.340,0.00163,377.8
74.4,1.2201,4.348,0.00164,378.5
74.5,1.2218,4.356,0.00164,379.2
74.6,1.2234,4.363,0.00165,379.8
74.7,1.2250,4.370,0.00165,380.4
74.8,1.2268,4.379,0.00165,381.2
74.9,1.2284,4.387,0.00166,381.9
75.0,1.2300,4.394,0.00166,382.5
75.1,1.2316,4.402,0.00166,383.2
75.2,1.2335,4.411,0.00167,384.0
75.3,1.2352,4.419,0.00167,384.7
75.4,1.2368,4.426,0.00167,385.3
75.5,1.2385,4.434,0.00167,386.0
75.6,1.2403,4.444,0.00167,386.9
75.7,1.2418,4.449,0.00168,387.3
75.8,1.2434,4.457,0.00168,388.0
75.9,1.2452,4.465,0.00169,388.7
76.0,1.2469,4.474,0.00169,389.5
76.1,1.2484,4.480,0.00169,390.0
76.2,1.2501,4.487,0.00169,390.6
76.3,1.2518,4.496,0.00170,391.4
76.4,1.2536,4.504,0.00170,392.1
76.5,1.2552,4.511,0.00170,392.7
76.6,1.2568,4.519,0.00171,393.4
76.7,1.2585,4.527,0.00171,394.1
76.8,1.2602,4.535,0.00171,394.8
76.9,1.2618,4.542,0.00172,395.5
77.0,1.2634,4.550,0.00172,396.1
77.1,1.2652,4.559,0.00172,396.9
77.2,1.2668,4.566,0.00172,397.5
77.3,1.2684,4.574,0.00172,398.2
77.4,1.2700,4.582,0.00173,398.9
77.5,1.2719,4.591,0.00174,399.7
77.6,1.2735,4.599,0.00174,400.4
77.7,1.2751,4.606,0.00174,401.0
77.8,1.2768,4.613,0.00175,401.6
77.9,1.2785,4.623,0.00175,402.4
78.0,1.2801,4.630,0.00175,403.1
78.1,1.2817,4.637,0.00176,403.7
78.2,1.2835,4.645,0.00175,404.4
78.3,1.2852,4.654,0.00176,405.2
78.4,1.2868,4.661,0.00176,405.8
78.5,1.2884,4.669,0.00177,406.4
78.6,1.2901,4.678,0.00177,407.2
78.7,1.2919,4.686,0.00178,407.9
78.8,1.2935,4.693,0.00178,408.6
78.9,1.2951,4.701,0.00178,409.3
79.0,1.2968,4.710,0.00178,410.1
79.1,1.2985,4.718,0.00179,410.8
79.2,1.3001,4.726,0.00179,411.4
79.3,1.3017,4.734,0.00179,412.1
79.4,1.3036,4.743,0.00180,412.9
79.5,1.3052,4.751,0.00180,413.6
79.6,1.3069,4.758,0.00180,414.2
79.7,1.3085,4.765,0.00180,414.8
79.8,1.3103,4.775,0.00181,415.7
79.9,1.3119,4.782,0.00182,416.3
80.0,1.3135,4.790,0.00182,417.0
80.1,1.3152,4.798,0.00182,417.7
80.2,1.3169,4.807,0.00182,418.5
80.3,1.3185,4.814,0.00182,419.1
80.4,1.3201,4.822,0.00183,419.8
80.5,1.3220,4.831,0.00183,420.6
80.6,1.3236,4.839,0.00184,421.3
80.7,1.3252,4.846,0.00184,421.9
80.8,1.3268,4.854,0.00184,422.6
80.9,1.3285,4.863,0.00184,423.3
81.0,1.3301,4.871,0.00185,424.1
81.1,1.3317,4.878,0.00185,424.7
81.2,1.3334,4.886,0.00185,425.4
81.3,1.3351,4.895,0.00185,426.2
81.4,1.3367,4.903,0.00186,426.9
81.5,1.3384,4.911,0.00186,427.5
81.6,1.3400,4.919,0.00186,428.2
81.7,1.3417,4.928,0.00187,429.1
81.8,1.3433,4.935,0.00188,429.6
81.9,1.3449,4.944,0.00188,430.4
82.0,1.3466,4.952,0.00187,431.1
82.1,1.3484,4.960,0.00189,431.8
82.2,1.3499,4.968,0.00189,432.5
82.3,1.3516,4.976,0.00189,433.2
82.4,1.3532,4.984,0.00189,433.9
82.5,1.3549,4.993,0.00189,434.7
82.6,1.3565,5.001,0.00190,435.4
82.7,1.3581,5.009,0.00190,436.1
82.8,1.3599,5.018,0.00191,436.9
82.9,1.3616,5.028,0.00190,437.7
83.0,1.3632,5.036,0.00191,438.4
83.1,1.3648,5.043,0.00191,439.1
83.2,1.3666,5.053,0.00192,439.9
83.3,1.3681,5.062,0.00193,440.6
83.4,1.3699,5.069,0.00192,441.3
83.5,1.3716,5.077,0.00193,442.0
83.6,1.3733,5.087,0.00194,442.9
83.7,1.3748,5.094,0.00194,443.5
83.8,1.3765,5.102,0.00194,444.2
83.9,1.3782,5.112,0.00194,445.0
84.0,1.3800,5.122,0.00195,445.9
84.1,1.3816,5.129,0.00195,446.5
84.2,1.3832,5.137,0.00195,447.2
84.3,1.3850,5.146,0.00195,448.0
84.4,1.3867,5.154,0.00196,448.7
84.5,1.3884,5.163,0.00196,449.5
84.6,1.3900,5.171,0.00197,450.2
84.7,1.3917,5.180,0.00197,451.0
84.8,1.3934,5.189,0.00197,451.7
84.9,1.3950,5.197,0.00198,452.4
85.0,1.3967,5.205,0.00198,453.2
85.1,1.3984,5.216,0.00198,454.1
85.2,1.4000,5.224,0.00199,454.8
85.3,1.4016,5.231,0.00199,455.4
85.4,1.4033,5.240,0.00199,456.2
85.5,1.4052,5.250,0.00200,457.1
85.6,1.4068,5.258,0.00200,457.7
85.7,1.4084,5.266,0.00200,458.4
85.8,1.4101,5.274,0.00201,459.2
85.9,1.4117,5.284,0.00201,460.0
86.0,1.4133,5.292,0.00201,460.7
86.1,1.4150,5.300,0.00202,461.4
86.2,1.4167,5.309,0.00202,462.2
86.3,1.4184,5.318,0.00202,462.9
86.4,1.4200,5.326,0.00202,463.7
86.5,1.4216,5.334,0.00203,464.4
86.6,1.4232,5.344,0.00204,465.3
86.7,1.4249,5.353,0.00204,466.0
86.8,1.4265,5.360,0.00204,466.7
86.9,1.4281,5.369,0.00204,467.4
87.0,1.4299,5.379,0.00204,468.3
87.1,1.4315,5.387,0.00205,469.0
87.2,1.4331,5.395,0.00205,469.7
87.3,1.4347,5.404,0.00206,470.5
87.4,1.4364,5.414,0.00206,471.3
87.5,1.4380,5.423,0.00206,472.1
87.6,1.4397,5.430,0.00207,472.8
87.7,1.4413,5.439,0.00207,473.5
87.8,1.4431,5.448,0.00208,474.3
87.9,1.4447,5.456,0.00208,475.0
88.0,1.4464,5.465,0.00208,475.8
88.1,1.4481,5.474,0.00208,476.6
88.2,1.4499,5.484,0.00209,477.4
88.3,1.4515,5.492,0.00209,478.1
88.4,1.4532,5.501,0.00209,478.9
88.5,1.4549,5.511,0.00210,479.7
88.6,1.4565,5.520,0.00210,480.5
88.7,1.4581,5.528,0.00210,481.2
88.8,1.4599,5.536,0.00211,482.0
88.9,1.4616,5.546,0.00211,482.9
89.0,1.4632,5.554,0.00211,483.5
89.1,1.4648,5.563,0.00212,484.3
89.2,1.4664,5.572,0.00212,485.1
89.3,1.4681,5.581,0.00213,485.9
89.4,1.4698,5.590,0.00213,486.6
89.5,1.4715,5.599,0.00213,487.4
89.6,1.4732,5.608,0.00214,488.2
89.7,1.4749,5.617,0.00214,489.0
89.8,1.4765,5.625,0.00214,489.7
89.9,1.4781,5.634,0.00215,490.5
90.0,1.4800,5.644,0.00215,491.3
90.1,1.4816,5.653,0.00215,492.2
90.2,1.4832,5.661,0.00216,492.9
90.3,1.4848,5.670,0.00216,493.6
90.4,1.4865,5.680,0.00216,494.5
90.5,1.4881,5.688,0.00216,495.2
90.6,1.4898,5.696,0.00217,495.9
90.7,1.4915,5.705,0.00218,496.6
90.8,1.4932,5.715,0.00218,497.5
90.9,1.4948,5.723,0.00218,498.2
91.0,1.4964,5.732,0.00218,499.0
91.1,1.4981,5.741,0.00219,499.8
91.2,1.5000,5.751,0.00219,500.7
91.3,1.5016,5.758,0.00220,501.3
91.4,1.5032,5.767,0.00220,502.0
91.5,1.5048,5.776,0.00220,502.9
91.6,1.5066,5.786,0.00221,503.7
91.7,1.5082,5.795,0.00221,504.5
91.8,1.5098,5.803,0.00221,505.2
91.9,1.5116,5.813,0.00222,506.1
92.0,1.5133,5.822,0.00222,506.8
92.1,1.5149,5.831,0.00223,507.6
92.2,1.5165,5.839,0.00223,508.4
92.3,1.5184,5.850,0.00223,509.3
92.4,1.5200,5.859,0.00223,510.0
92.5,1.5216,5.867,0.00224,510.8
92.6,1.5232,5.876,0.00225,511.5
92.7,1.5250,5.886,0.00225,512.4
92.8,1.5265,5.894,0.00225,513.1
92.9,1.5281,5.902,0.00225,513.8
93.0,1.5299,5.911,0.00225,514.6
93.1,1.5316,5.923,0.00226,515.6
93.2,1.5332,5.930,0.00226,516.3
93.3,1.5348,5.938,0.00227,517.0
93.4,1.5366,5.948,0.00227,517.8
93.5,1.5384,5.959,0.00228,518.7
93.6,1.5400,5.967,0.00228,519.4
93.7,1.5416,5.976,0.00229,520.2
93.8,1.5434,5.986,0.00229,521.1
93.9,1.5451,5.995,0.00230,521.9
94.0,1.5467,6.004,0.00230,522.7
94.1,1.5484,6.014,0.00230,523.5
94.2,1.5501,6.024,0.00231,524.5
94.3,1.5518,6.033,0.00231,525.3
94.4,1.5534,6.042,0.00231,526.0
94.5,1.5549,6.050,0.00232,526.7
94.6,1.5568,6.061,0.00232,527.7
94.7,1.5584,6.069,0.00232,528.3
94.8,1.5600,6.077,0.00232,529.1
94.9,1.5616,6.085,0.00233,529.8
95.0,1.5633,6.096,0.00233,530.7
95.1,1.5649,6.105,0.00234,531.5
95.2,1.5666,6.114,0.00234,532.3
95.3,1.5683,6.123,0.00235,533.0
95.4,1.5700,6.132,0.00234,533.9
95.5,1.5716,6.141,0.00235,534.6
95.6,1.5732,6.149,0.00235,535.3
95.7,1.5749,6.159,0.00235,536.2
95.8,1.5765,6.168,0.00236,536.9
95.9,1.5781,6.175,0.00236,537.6
96.0,1.5796,6.184,0.00237,538.3
96.1,1.5813,6.193,0.00237,539.1
96.2,1.5829,6.202,0.00238,540.0
96.3,1.5845,6.211,0.00238,540.7
96.4,1.5861,6.219,0.00238,541.4
96.5,1.5880,6.230,0.00238,542.4
96.6,1.5896,6.240,0.00239,543.2
96.7,1.5912,6.248,0.00240,543.9
96.8,1.5928,6.256,0.00240,544.7
96.9,1.5945,6.268,0.00241,545.6
97.0,1.5961,6.277,0.00240,546.4
97.1,1.5978,6.285,0.00241,547.2
97.2,1.5994,6.294,0.00241,548.0
97.3,1.6012,6.304,0.00242,548.8
97.4,1.6028,6.312,0.00242,549.5
97.5,1.6044,6.322,0.00242,550.4
97.6,1.6061,6.332,0.00243,551.2
97.7,1.6079,6.341,0.00243,552.0
97.8,1.6095,6.349,0.00244,552.7
97.9,1.6111,6.359,0.00244,553.6
98.0,1.6128,6.368,0.00244,554.4
98.1,1.6145,6.378,0.00244,555.3
98.2,1.6161,6.387,0.00245,556.1
98.3,1.6177,6.396,0.00245,556.8
98.4,1.6196,6.406,0.00245,557.7
98.5,1.6212,6.416,0.00246,558.6
98.6,1.6228,6.424,0.00246,559.3
98.7,1.6245,6.433,0.00247,560.1
98.8,1.6263,6.444,0.00247,561.0
98.9,1.6279,6.452,0.00247,561.7
99.0,1.6296,6.462,0.00247,562.6
99.1,1.6312,6.472,0.00248,563.4
99.2,1.6331,6.483,0.00249,564.4
99.3,1.6347,6.490,0.00249,565.0
99.4,1.6363,6.500,0.00249,565.8
99.5,1.6380,6.509,0.00250,566.7
99.6,1.6397,6.520,0.00250,567.7
99.7,1.6414,6.529,0.00250,568.4
99.8,1.6430,6.538,0.00251,569.2
99.9,1.6448,6.549,0.00251,570.1
100.0,1.6464,6.558,0.00251,570.9
100.1,1.6480,6.567,0.00252,571.7
100.2,1.6498,6.576,0.00252,572.5
100.3,1.6516,6.587,0.00253,573.5
100.4,1.6532,6.595,0.00253,574.1
100.5,1.6548,6.604,0.00253,574.9
100.6,1.6565,6.614,0.00253,575.8
100.7,1.6583,6.625,0.00254,576.8
100.8,1.6599,6.633,0.00254,577.4
100.9,1.6615,6.642,0.00255,578.2
101.0,1.6632,6.652,0.00256,579.1
101.1,1.6649,6.661,0.00256,579.9
101.2,1.6665,6.670,0.00256,580.7
101.3,1.6682,6.679,0.00256,581.5
101.4,1.6700,6.690,0.00257,582.4
101.5,1.6716,6.699,0.00257,583.2
101.6,1.6732,6.708,0.00257,584.0
101.7,1.6748,6.716,0.00258,584.7
101.8,1.6765,6.726,0.00258,585.6
101.9,1.6780,6.736,0.00259,586.4
102.0,1.6796,6.744,0.00259,587.1
102.1,1.6812,6.753,0.00260,587.9
102.2,1.6830,6.764,0.00260,588.9
102.3,1.6846,6.773,0.00261,589.7
102.4,1.6861,6.782,0.00260,590.5
102.5,1.6877,6.790,0.00260,591.2
102.6,1.6895,6.802,0.00261,592.2
102.7,1.6911,6.810,0.00262,592.9
102.8,1.6927,6.819,0.00262,593.7
102.9,1.6942,6.827,0.00262,594.4
103.0,1.6959,6.838,0.00263,595.3
103.1,1.6976,6.848,0.00264,596.2
103.2,1.6992,6.858,0.00264,597.0
103.3,1.7008,6.866,0.00264,597.7
103.4,1.7025,6.877,0.00264,598.7
103.5,1.7042,6.886,0.00264,599.5
103.6,1.7059,6.896,0.00266,600.4
103.7,1.7076,6.907,0.00266,601.3
103.8,1.7092,6.917,0.00266,602.2
103.9,1.7109,6.926,0.00267,603.0
104.0,1.7125,6.936,0.00267,603.8
104.1,1.7143,6.946,0.00268,604.7
104.2,1.7160,6.956,0.00268,605.6
104.3,1.7176,6.965,0.00268,606.3
104.4,1.7192,6.974,0.00268,607.1
104.5,1.7209,6.984,0.00269,608.0
104.6,1.7225,6.994,0.00269,608.9
104.7,1.7242,7.003,0.00270,609.6
104.8,1.7259,7.012,0.00269,610.4
104.9,1.7276,7.023,0.00270,611.4
105.0,1.7292,7.031,0.00271,612.1
105.1,1.7309,7.042,0.00271,613.0
105.2,1.7327,7.051,0.00272,613.9
105.3,1.7344,7.062,0.00272,614.8
105.4,1.7360,7.070,0.00272,615.5
105.5,1.7376,7.080,0.00272,616.4
105.6,1.7393,7.091,0.00273,617.3
105.7,1.7410,7.101,0.00273,618.2
105.8,1.7426,7.110,0.00274,619.0
105.9,1.7443,7.119,0.00274,619.8
106.0,1.7460,7.130,0.00275,620.7
106.1,1.7476,7.139,0.00275,621.5
106.2,1.7492,7.149,0.00276,622.4
106.3,1.7509,7.158,0.00276,623.2
106.4,1.7527,7.170,0.00277,624.2
106.5,1.7542,7.177,0.00276,624.9
106.6,1.7559,7.188,0.00277,625.7
106.7,1.7576,7.199,0.00278,626.7
106.8,1.7593,7.209,0.00278,627.6
106.9,1.7609,7.217,0.00278,628.3
107.0,1.7625,7.227,0.00279,629.2
107.1,1.7643,7.238,0.00279,630.1
107.2,1.7660,7.248,0.00279,631.0
107.3,1.7676,7.258,0.00280,631.8
107.4,1.7693,7.268,0.00280,632.7
107.5,1.7711,7.279,0.00281,633.7
107.6,1.7727,7.289,0.00281,634.6
107.7,1.7744,7.298,0.00281,635.4
107.8,1.7760,7.307,0.00282,636.1
107.9,1.7778,7.319,0.00282,637.2
108.0,1.7792,7.327,0.00282,637.9
108.1,1.7809,7.336,0.00283,638.7
108.2,1.7826,7.347,0.00283,639.6
108.3,1.7844,7.358,0.00284,640.5
108.4,1.7859,7.365,0.00284,641.2
108.5,1.7876,7.374,0.00284,642.0
108.6,1.7892,7.384,0.00285,642.9
108.7,1.7909,7.397,0.00286,643.9
108.8,1.7925,7.405,0.00286,644.6
108.9,1.7942,7.413,0.00286,645.4
109.0,1.7960,7.424,0.00287,646.4
109.1,1.7976,7.435,0.00287,647.3
109.2,1.7992,7.445,0.00287,648.2
109.3,1.8009,7.454,0.00288,649.0
109.4,1.8027,7.465,0.00288,649.9
109.5,1.8044,7.476,0.00288,650.8
109.6,1.8060,7.485,0.00289,651.7
109.7,1.8076,7.495,0.00290,652.5
109.8,1.8094,7.507,0.00290,653.5
109.9,1.8110,7.516,0.00290,654.3
110.0,1.8125,7.525,0.00291,655.1
110.1,1.8142,7.533,0.00291,655.8
110.2,1.8160,7.546,0.00291,656.9
110.3,1.8176,7.555,0.00292,657.7
110.4,1.8192,7.565,0.00292,658.6
110.5,1.8209,7.574,0.00292,659.4
110.6,1.8227,7.585,0.00293,660.4
110.7,1.8243,7.594,0.00293,661.1
110.8,1.8260,7.605,0.00294,662.1
110.9,1.8277,7.616,0.00295,663.0
111.0,1.8294,7.627,0.00294,663.9
111.1,1.8310,7.636,0.00295,664.8
111.2,1.8327,7.646,0.00295,665.6
111.3,1.8344,7.658,0.00296,666.7
111.4,1.8361,7.668,0.00297,667.5
111.5,1.8377,7.677,0.00296,668.4
111.6,1.8394,7.686,0.00297,669.1
111.7,1.8412,7.697,0.00298,670.1
111.8,1.8428,7.706,0.00297,670.9
111.9,1.8444,7.717,0.00298,671.8
112.0,1.8461,7.726,0.00298,672.6
112.1,1.8477,7.738,0.00299,673.6
112.2,1.8493,7.747,0.00299,674.4
112.3,1.8509,7.757,0.00300,675.3
112.4,1.8528,7.768,0.00300,676.2
112.5,1.8544,7.779,0.00301,677.2
112.6,1.8560,7.788,0.00302,678.0
112.7,1.8576,7.798,0.00302,678.9
112.8,1.8593,7.810,0.00302,679.9
112.9,1.8609,7.820,0.00302,680.8
113.0,1.8626,7.830,0.00303,681.6
113.1,1.8643,7.839,0.00303,682.5
113.2,1.8660,7.850,0.00304,683.4
113.3,1.8676,7.859,0.00304,684.2
113.4,1.8692,7.870,0.00305,685.2
113.5,1.8708,7.880,0.00305,686.0
113.6,1.8726,7.891,0.00305,687.0
113.7,1.8741,7.900,0.00306,687.8
113.8,1.8758,7.911,0.00306,688.7
113.9,1.8775,7.921,0.00306,689.6
114.0,1.8792,7.932,0.00307,690.5
114.1,1.8808,7.942,0.00307,691.4
114.2,1.8824,7.952,0.00308,692.3
114.3,1.8842,7.962,0.00309,693.2
114.4,1.8859,7.974,0.00309,694.2
114.5,1.8875,7.983,0.00309,695.0
114.6,1.8891,7.993,0.00309,695.9
114.7,1.8909,8.005,0.00310,696.9
114.8,1.8924,8.015,0.00311,697.7
114.9,1.8941,8.025,0.00311,698.6
115.0,1.8958,8.035,0.00311,699.5
115.1,1.8976,8.048,0.00312,700.6
115.2,1.8991,8.055,0.00312,701.3
115.3,1.9008,8.066,0.00313,702.2
115.4,1.9025,8.078,0.00313,703.2
115.5,1.9042,8.090,0.00313,704.3
115.6,1.9058,8.098,0.00313,705.0
115.7,1.9075,8.108,0.00314,705.9
115.8,1.9092,8.119,0.00314,706.8
115.9,1.9109,8.130,0.00315,707.8
116.0,1.9125,8.140,0.00316,708.7
116.1,1.9141,8.150,0.00316,709.5
116.2,1.9159,8.161,0.00316,710.5
116.3,1.9175,8.172,0.00317,711.4
116.4,1.9191,8.182,0.00317,712.3
116.5,1.9208,8.191,0.00317,713.1
116.6,1.9225,8.204,0.00318,714.2
116.7,1.9241,8.213,0.00318,715.0
116.8,1.9257,8.223,0.00319,715.9
116.9,1.9273,8.234,0.00319,716.8
117.0,1.9292,8.246,0.00319,717.9
117.1,1.9308,8.255,0.00320,718.7
117.2,1.9324,8.265,0.00321,719.5
117.3,1.9341,8.274,0.00321,720.3
117.4,1.9358,8.287,0.00321,721.4
117.5,1.9374,8.295,0.00322,722.2
117.6,1.9390,8.305,0.00322,723.0
117.7,1.9408,8.316,0.00323,724.0
117.8,1.9424,8.327,0.00323,724.9
117.9,1.9440,8.337,0.00323,725.8
118.0,1.9457,8.347,0.00324,726.7
118.1,1.9475,8.360,0.00325,727.8
118.2,1.9491,8.369,0.00324,728.6
118.3,1.9507,8.379,0.00325,729.5
118.4,1.9523,8.389,0.00326,730.3
118.5,1.9541,8.401,0.00326,731.4
118.6,1.9557,8.411,0.00326,732.2
118.7,1.9573,8.420,0.00327,733.1
118.8,1.9588,8.430,0.00327,733.9
118.9,1.9606,8.443,0.00328,735.0
119.0,1.9623,8.454,0.00328,736.0
119.1,1.9640,8.464,0.00328,736.9
119.2,1.9657,8.474,0.00329,737.8
119.3,1.9675,8.486,0.00330,738.8
119.4,1.9691,8.496,0.00331,739.7
119.5,1.9708,8.507,0.00331,740.6
119.6,1.9725,8.519,0.00331,741.6
119.7,1.9741,8.529,0.00331,742.5
119.8,1.9758,8.540,0.00332,743.5
119.9,1.9774,8.550,0.00332,744.3
120.0,1.9792,8.561,0.00332,745.3
120.1,1.9808,8.571,0.00333,746.2
120.2,1.9824,8.582,0.00333,747.1
120.3,1.9840,8.592,0.00333,748.0
120.4,1.9858,8.602,0.00334,748.9
120.5,1.9873,8.613,0.00335,749.8
120.6,1.9891,8.624,0.00335,750.8
120.7,1.9907,8.634,0.00336,751.7
120.8,1.9924,8.646,0.00336,752.7
120.9,1.9940,8.655,0.00337,753.5
121.0,1.9956,8.666,0.00337,754.5
121.1,1.9974,8.678,0.00338,755.5
121.2,1.9991,8.689,0.00337,756.4
121.3,2.0007,8.700,0.00338,757.4
121.4,2.0023,8.710,0.00338,758.3
121.5,2.0040,8.722,0.00339,759.3
121.6,2.0056,8.732,0.00339,760.2
121.7,2.0073,8.742,0.00340,761.1
121.8,2.0090,8.753,0.00340,762.0
121.9,2.0108,8.766,0.00341,763.1
122.0,2.0124,8.774,0.00341,763.9
122.1,2.0140,8.786,0.00342,764.9
122.2,2.0157,8.797,0.00342,765.8
122.3,2.0174,8.808,0.00342,766.8
122.4,2.0190,8.817,0.00343,767.6
122.5,2.0207,8.828,0.00343,768.6
122.6,2.0224,8.839,0.00344,769.5
122.7,2.0241,8.851,0.00344,770.5
122.8,2.0257,8.861,0.00344,771.4
122.9,2.0273,8.871,0.00345,772.3
123.0,2.0292,8.883,0.00346,773.3
123.1,2.0307,8.895,0.00345,774.3
123.2,2.0324,8.905,0.00346,775.2
123.3,2.0341,8.915,0.00347,776.1
123.4,2.0358,8.927,0.00347,777.2
123.5,2.0373,8.936,0.00348,778.0
123.6,2.0389,8.947,0.00348,778.9
123.7,2.0406,8.958,0.00349,779.8
123.8,2.0423,8.970,0.00350,780.9
123.9,2.0438,8.977,0.00349,781.5
124.0,2.0454,8.987,0.00350,782.4
124.1,2.0471,8.999,0.00350,783.4
124.2,2.0488,9.011,0.00351,784.5
124.3,2.0504,9.020,0.00351,785.2
124.4,2.0520,9.031,0.00351,786.2
124.5,2.0536,9.042,0.00351,787.2
124.6,2.0553,9.054,0.00352,788.2
124.7,2.0570,9.064,0.00353,789.1
124.8,2.0586,9.075,0.00353,790.0
124.9,2.0604,9.087,0.00354,791.1
125.0,2.0621,9.098,0.00355,792.1
125.1,2.0637,9.108,0.00355,793.0
125.2,2.0653,9.120,0.00355,794.0
125.3,2.0672,9.132,0.00356,795.0
125.4,2.0688,9.143,0.00356,795.9
125.5,2.0704,9.153,0.00357,796.8
125.6,2.0720,9.163,0.00357,797.7
125.7,2.0739,9.177,0.00358,798.9
125.8,2.0755,9.187,0.00358,799.8
125.9,2.0771,9.197,0.00359,800.6
126.0,2.0789,9.209,0.00359,801.7
126.1,2.0806,9.220,0.00359,802.7
126.2,2.0823,9.231,0.00360,803.6
126.3,2.0839,9.242,0.00360,804.6
126.4,2.0856,9.254,0.00361,805.6
126.5,2.0873,9.265,0.00362,806.6
126.6,2.0889,9.274,0.00362,807.4
126.7,2.0905,9.285,0.00362,808.3
126.8,2.0923,9.297,0.00362,809.4
126.9,2.0939,9.308,0.00363,810.3
127.0,2.0956,9.319,0.00364,811.3
127.1,2.0971,9.329,0.00364,812.1
127.2,2.0988,9.341,0.00365,813.2
127.3,2.1005,9.352,0.00365,814.2
127.4,2.1022,9.363,0.00365,815.1
127.5,2.1038,9.372,0.00365,815.9
127.6,2.1055,9.385,0.00366,817.0
127.7,2.1071,9.395,0.00367,817.9
